epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.6895817875862121,0.6,0.375,0.10714285714285714,0.16666666666666666,0.6851701736450195,0.625,0.0,0.0,0.0
2,0.6855636835098267,0.6266666666666667,0.0,0.0,0.0,0.6780428886413574,0.625,0.0,0.0,0.0
3,0.672533369064331,0.6266666666666667,0.0,0.0,0.0,0.6717310547828674,0.625,0.0,0.0,0.0
4,0.6736286640167236,0.6266666666666667,0.0,0.0,0.0,0.665446400642395,0.625,0.0,0.0,0.0
5,0.6577431797981262,0.6266666666666667,0.0,0.0,0.0,0.6606140732765198,0.625,0.0,0.0,0.0
6,0.6618250489234925,0.6266666666666667,0.0,0.0,0.0,0.6575242280960083,0.625,0.0,0.0,0.0
7,0.6596835732460022,0.6266666666666667,0.0,0.0,0.0,0.65641850233078,0.625,0.0,0.0,0.0
8,0.6587367296218872,0.6266666666666667,0.0,0.0,0.0,0.6560840010643005,0.625,0.0,0.0,0.0
9,0.6614282250404357,0.6266666666666667,0.0,0.0,0.0,0.6559931039810181,0.625,0.0,0.0,0.0
10,0.6619259595870972,0.6266666666666667,0.0,0.0,0.0,0.6555596590042114,0.625,0.0,0.0,0.0
11,0.651968264579773,0.6266666666666667,0.0,0.0,0.0,0.6545088887214661,0.625,0.0,0.0,0.0
