filename,source_repo,source_path,content,content_length,vulnerable,confidence,notes,checkov_findings,scraped_date
main.tf,Bzahirpour/iac-pipeline-template,bootstrap\main.tf,"terraform {
  required_version = ""~> 1.14""

  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 6.0""
    }
  }

  # Bootstrap intentionally uses local state — it manages the remote state bucket itself.
}

provider ""aws"" {
  region = var.aws_region

  default_tags {
    tags = merge(var.tags, {
      Project   = var.project_name
      ManagedBy = ""Terraform""
      Module    = ""bootstrap""
    })
  }
}

data ""aws_caller_identity"" ""current"" {}

# ── Remote state backend ──────────────────────────────────────────────────────

resource ""aws_s3_bucket"" ""tf_state"" {
  bucket        = ""${var.project_name}-tfstate-${data.aws_caller_identity.current.account_id}""
  force_destroy = false
}

resource ""aws_s3_bucket_versioning"" ""tf_state"" {
  bucket = aws_s3_bucket.tf_state.id
  versioning_configuration {
    status = ""Enabled""
  }
}

resource ""aws_s3_bucket_server_side_encryption_configuration"" ""tf_state"" {
  bucket = aws_s3_bucket.tf_state.id
  rule {
    apply_server_side_encryption_by_default {
      sse_algorithm = ""AES256""
    }
  }
}

resource ""aws_s3_bucket_public_access_block"" ""tf_state"" {
  bucket                  = aws_s3_bucket.tf_state.id
  block_public_acls       = true
  block_public_policy     = true
  ignore_public_acls      = true
  restrict_public_buckets = true
}

# ── GitHub Actions OIDC ───────────────────────────────────────────────────────
# Only one OIDC provider for token.actions.githubusercontent.com is allowed per
# AWS account. Set create_oidc_provider = false and run:
#   terraform import aws_iam_openid_connect_provider.github <existing-arn>
# if it already exists from another project.

resource ""aws_iam_openid_connect_provider"" ""github"" {
  count = var.create_oidc_provider ? 1 : 0

  url             = ""https://token.actions.githubusercontent.com""
  client_id_list  = [""sts.amazonaws.com""]
  thumbprint_list = [""6938fd4d98bab03faadb97b34396831e3780aea1""]
}

data ""aws_iam_openid_connect_provider"" ""github"" {
  count = var.create_oidc_provider ? 0 : 1
  url   = ""https://token.actions.githubusercontent.com""
}

locals {
  oidc_provider_arn = var.create_oidc_provider ? aws_iam_openid_connect_provider.github[0].arn : data.aws_iam_openid_connect_provider.github[0].arn
}

# ── IAM role assumed by GitHub Actions ───────────────────────────────────────

data ""aws_iam_policy_document"" ""github_actions_assume"" {
  statement {
    effect  = ""Allow""
    actions = [""sts:AssumeRoleWithWebIdentity""]

    principals {
      type        = ""Federated""
      identifiers = [local.oidc_provider_arn]
    }

    condition {
      test     = ""StringEquals""
      variable = ""token.actions.githubusercontent.com:aud""
      values   = [""sts.amazonaws.com""]
    }

    # Scoped to PRs, pushes to main, and environment-gated jobs (dev/prod).
    # The environment: condition enables the GitHub approval gate — when a job
    # has environment: prod the OIDC sub becomes repo:ORG/REPO:environment:prod.
    condition {
      test     = ""StringLike""
      variable = ""token.actions.githubusercontent.com:sub""
      values = [
        ""repo:${var.github_org}/${var.github_repo}:pull_request"",
        ""repo:${var.github_org}/${var.github_repo}:ref:refs/heads/main"",
        ""repo:${var.github_org}/${var.github_repo}:environment:dev"",
        ""repo:${var.github_org}/${var.github_repo}:environment:prod"",
      ]
    }
  }
}

resource ""aws_iam_role"" ""github_actions"" {
  name                 = ""${var.project_name}-github-actions""
  description          = ""Assumed by GitHub Actions via OIDC to deploy ${var.project_name}""
  assume_role_policy   = data.aws_iam_policy_document.github_actions_assume.json
  max_session_duration = 3600
}

# AdministratorAccess is broad — scope this down to only the services your
# project actually needs once you know what you're deploying.
resource ""aws_iam_role_policy_attachment"" ""github_actions_admin"" {
  role       = aws_iam_role.github_actions.name
  policy_arn = ""arn:aws:iam::aws:policy/AdministratorAccess""
}
",4011,True,High,Attaches AdministratorAccess managed policy,Checkov not installed,2026-06-14 20:02:58
main.tf,bryan-rhm/terraform-aws-iam-role,main.tf,"data ""aws_iam_policy_document"" ""aws_trust_policy"" {
  statement {
    sid = var.statement_id
    actions = [""sts:AssumeRole""]

    principals {
      type        = var.trusted_identifier.type
      identifiers = var.trusted_identifier.identifiers
    }

    dynamic ""condition"" {
      for_each = var.conditions
      content {
        test     = lookup(condition.value.condition, ""test"", null)
        variable = lookup(condition.value.condition, ""variable"", null)
        values   = lookup(condition.value.condition, ""values"", null)
      }
    }
  }
}

resource ""aws_iam_role"" ""role"" {
  description           = var.description
  name                  = var.name
  assume_role_policy    = data.aws_iam_policy_document.aws_trust_policy.json
  managed_policy_arns   = var.managed_policy_arns
  force_detach_policies = true
}
",826,False,Medium,No obvious wildcard escalation paths detected,Checkov not installed,2026-06-14 20:03:01
main.tf,devops-workflow/terraform-aws-iam_role,main.tf,"/**
 * AWS IAM Role Terraform Module
 * =====================
 *
 * Usage:
 * ------
 *
 *     module ""iam_role"" {
 *       source      = ""../tf_iam_role""
 *
 *       add variables
 *     }
**/

resource ""aws_iam_role"" ""default_ecs_role"" {
  #name = ""ecs-role-${var.name}-${var.environment}""
  name = ""${var.namespaced ? format(""%s-%s-ecs-role"", var.environment, var.name) : format(""%s-ecs-role"", var.name)}""

  assume_role_policy = <<EOF
{
  ""Version"": ""2008-10-17"",
  ""Statement"": [
    {
      ""Action"": ""sts:AssumeRole"",
      ""Principal"": {
        ""Service"": [
          ""ecs.amazonaws.com"",
          ""ec2.amazonaws.com""
        ]
      },
      ""Effect"": ""Allow""
    }
  ]
}
EOF
}

resource ""aws_iam_role_policy"" ""default_ecs_service_role_policy"" {
  #name = ""ecs-service-role-policy-${var.name}-${var.environment}""
  name = ""${var.namespaced ? format(""%s-%s-ecs-service-role-policy"", var.environment, var.name) : format(""%s-ecs-service-role-policy"", var.name)}""
  role = ""${aws_iam_role.default_ecs_role.id}""

  policy = <<EOF
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
      ""Effect"": ""Allow"",
      ""Action"": [
        ""ec2:AuthorizeSecurityGroupIngress"",
        ""ec2:Describe*"",
        ""elasticloadbalancing:DeregisterInstancesFromLoadBalancer"",
        ""elasticloadbalancing:Describe*"",
        ""elasticloadbalancing:RegisterInstancesWithLoadBalancer""
      ],
      ""Resource"": ""*""
    }
  ]
}
EOF
}

resource ""aws_iam_role_policy"" ""default_ecs_instance_role_policy"" {
  #name = ""ecs-instance-role-policy-${var.name}-${var.environment}""
  name = ""${var.namespaced ? format(""%s-%s-ecs-instance-role-policy"", var.environment, var.name) : format(""%s-ecs-instance-role-policy"", var.name)}""
  role = ""${aws_iam_role.default_ecs_role.id}""

  policy = <<EOF
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
      ""Effect"": ""Allow"",
      ""Action"": [
        ""ecs:CreateCluster"",
        ""ecs:DeregisterContainerInstance"",
        ""ecs:DiscoverPollEndpoint"",
        ""ecs:Poll"",
        ""ecs:RegisterContainerInstance"",
        ""ecs:StartTelemetrySession"",
        ""ecs:Submit*"",
        ""ecr:GetAuthorizationToken"",
        ""ecr:BatchCheckLayerAvailability"",
        ""ecr:GetDownloadUrlForLayer"",
        ""ecr:BatchGetImage"",
        ""ecs:StartTask"",
        ""autoscaling:*""
      ],
      ""Resource"": ""*""
    },
    {
      ""Effect"": ""Allow"",
      ""Action"": [
        ""logs:CreateLogGroup"",
        ""logs:CreateLogStream"",
        ""logs:PutLogEvents"",
        ""logs:DescribeLogStreams""
      ],
      ""Resource"": ""arn:aws:logs:*:*:*""
    }
  ]
}
EOF
}

resource ""aws_iam_instance_profile"" ""default_ecs"" {
  #name  = ""ecs-instance-profile-${var.name}-${var.environment}""
  name = ""${var.namespaced ? format(""%s-%s-ecs-instance-profile"", var.environment, var.name) : format(""%s-ecs-instance-profile"", var.name)}""
  path  = ""/""
  role = ""${aws_iam_role.default_ecs_role.name}""
}
",2899,True,High,Wildcard action (*) with wildcard resource (*),Checkov not installed,2026-06-14 20:03:05
main.tf,vijayan1985/terraform-aws-finops-costreview-access,main.tf,"resource ""aws_iam_user"" ""this"" {
  count = var.mode == ""iam-user"" ? 1 : 0
  name  = var.user_name
}

resource ""aws_iam_role"" ""this"" {
  count = var.mode == ""iam-user"" ? 1 : 0
  name  = var.role_name

  assume_role_policy = jsonencode({
    Version = ""2012-10-17"",
    Statement = [
      {
        Effect = ""Allow"",
        Principal = {
          AWS = ""arn:aws:iam::${var.account_id}:user/${var.user_name}""
        },
        Action = ""sts:AssumeRole""
      }
    ]
  })
}

resource ""aws_iam_user_policy"" ""assume_role"" {
  count = var.mode == ""iam-user"" ? 1 : 0
  name  = ""${var.user_name}-assume-role""
  user  = aws_iam_user.this[0].name

  policy = jsonencode({
    Version = ""2012-10-17"",
    Statement = [
      {
        Effect   = ""Allow"",
        Action   = ""sts:AssumeRole"",
        Resource = aws_iam_role.this[0].arn
      }
    ]
  })
}

resource ""aws_iam_role_policy_attachment"" ""billing_readonly"" {
  count      = var.mode == ""iam-user"" ? 1 : 0
  role       = aws_iam_role.this[0].name
  policy_arn = ""arn:aws:iam::aws:policy/job-function/Billing""
}

resource ""aws_iam_role_policy_attachment"" ""cloudwatch_readonly"" {
  count      = var.mode == ""iam-user"" ? 1 : 0
  role       = aws_iam_role.this[0].name
  policy_arn = ""arn:aws:iam::aws:policy/CloudWatchReadOnlyAccess""
}

resource ""aws_iam_role_policy_attachment"" ""organizations_readonly"" {
  count      = var.attach_organizations_policy && var.mode == ""iam-user"" ? 1 : 0
  role       = aws_iam_role.this[0].name
  policy_arn = ""arn:aws:iam::aws:policy/AWSOrganizationsReadOnlyAccess""
}

",1554,False,Medium,Actions restricted to specific ARNs without wildcard resources,Checkov not installed,2026-06-14 20:03:08
main.tf,BotTech/terraform-aws-role,main.tf,"resource ""aws_iam_role"" ""role"" {
  name               = var.name
  description        = var.description
  assume_role_policy = data.aws_iam_policy_document.account_assume_role.json
}

data ""aws_iam_policy_document"" ""account_assume_role"" {
  statement {
    actions = [
      ""sts:AssumeRole""
    ]
    principals {
      type        = ""AWS""
      identifiers = [
      for account_id in var.account_ids :
      // Specifying the root account is the same as just using the account id but this is what
      // we get from using the console so use this format so that it doesn't cause a change.
      ""arn:aws:iam::${account_id}:root""
      ]
    }
    condition {
      test     = ""BoolIfExists""
      variable = ""aws:MultiFactorAuthPresent""
      values   = [
        ""true""
      ]
    }
  }
}

resource ""aws_iam_policy"" ""assume_role"" {
  name        = ""${var.name}AssumeRole""
  description = ""Assume the ${var.name} role.""
  policy      = data.aws_iam_policy_document.assume_role.json
}

data ""aws_iam_policy_document"" ""assume_role"" {
  statement {
    actions   = [
      ""sts:AssumeRole""
    ]
    resources = [
      aws_iam_role.role.arn
    ]
  }
}

resource ""aws_iam_group_policy_attachment"" ""assume_role"" {
  for_each   = var.groups
  group      = each.value
  policy_arn = aws_iam_policy.assume_role.arn
}

resource ""aws_iam_role_policy_attachment"" ""policy"" {
  for_each   = var.policies
  role       = aws_iam_role.role.name
  policy_arn = each.value
}
",1464,False,High,Scoped actions with MFA condition; follows least-privilege,Checkov not installed,2026-06-14 20:03:10
main.tf,BotTech/terraform-aws-role,examples\amplify\main.tf,"module ""amplify_role"" {
  source  = ""BotTech/role/aws""
  version = ""1.0.0""

  account_ids = [
    data.aws_caller_identity.current.account_id
  ]
  description = ""Provides developer access to Amplify resources.""
  groups      = [
    var.group
  ]
  name        = ""Developer""
  policies    = {
    resources = aws_iam_policy.amplify_developer.arn
    ecr       = ""arn:aws:iam::aws:policy/AmazonEC2ContainerRegistryPowerUser""
  }
}

data ""aws_caller_identity"" ""current"" {}

resource ""aws_iam_policy"" ""amplify_developer"" {
  description = ""Allow a user to develop applications using AWS Amplify.""
  name        = ""AWSAmplifyDeveloper""
  policy      = data.aws_iam_policy_document.amplify_developer.json
}

data ""aws_iam_policy_document"" ""amplify_developer"" {
  statement {
    sid       = ""AmplifyFullAccess""
    actions   = [
      ""amplify:*"",
      ""apigateway:*"",
      ""appsync:*"",
      ""cloudformation:*"",
      ""cognito-identity:*"",
      ""cognito-idp:*"",
      ""dynamodb:*"",
      ""iam:*"",
      ""lambda:*"",
      ""route53:*"",
      ""s3:*""
    ]
    resources = [
      ""*""
    ]
  }
}
",1093,True,Medium,Service-level wildcard but resources appear scoped,Checkov not installed,2026-06-14 20:03:10
main.tf,BotTech/terraform-aws-role,examples\billing\main.tf,"module ""billing_role"" {
  source  = ""BotTech/role/aws""
  version = ""1.0.0""

  account_ids = [
    data.aws_caller_identity.current.account_id
  ]
  description = ""Provides access to billing information.""
  groups      = [
    var.group
  ]
  name        = ""Billing""
  policies    = {
    billing       = ""arn:aws:iam::aws:policy/job-function/Billing""
    notifications = aws_iam_policy.subscribe_to_billing_notifications.arn
  }
}

data ""aws_caller_identity"" ""current"" {}

resource ""aws_iam_policy"" ""subscribe_to_billing_notifications"" {
  name        = ""SubscribeToBillingNotifications""
  description = ""Allow a user to manage their subscription to billing notifications.""
  policy      = data.aws_iam_policy_document.subscribe_to_billing_notifications.json
}

data ""aws_iam_policy_document"" ""subscribe_to_billing_notifications"" {
  statement {
    actions   = [
      ""sns:ConfirmSubscription"",
      ""sns:GetTopicAttributes"",
      ""sns:Subscribe""
    ]
    resources = [
      var.notifications_topic_arn
    ]
  }
  statement {
    actions   = [
      ""sns:ListTopics""
    ]
    resources = [
      ""*""
    ]
  }
}
",1120,False,Medium,Actions restricted to specific ARNs without wildcard resources,Checkov not installed,2026-06-14 20:03:10
iam.tf,jetbrains-infra/terraform-aws-assume-role-with-trust-to-account,iam.tf,"data ""aws_iam_policy_document"" ""assume_role_policy"" {

  statement {

    actions = [""sts:AssumeRole""]

    principals {
      type        = ""AWS""
      identifiers = [""${local.trusted_account_arns}""]
    }

    condition {
      test     = ""Bool""
      values   = [""${local.mfa}""]
      variable = ""aws:MultiFactorAuthPresent""
    }

  }

}

resource ""aws_iam_role"" ""admin"" {
  name               = ""${local.role_name}""
  assume_role_policy = ""${data.aws_iam_policy_document.assume_role_policy.json}""
}

resource ""aws_iam_role_policy_attachment"" ""admin_policy"" {
  role       = ""${aws_iam_role.admin.name}""
  policy_arn = ""${local.policy_arn}""
}",646,False,High,Scoped actions with MFA condition; follows least-privilege,Checkov not installed,2026-06-14 20:03:13
adminstrator.tf,kelseymok/aws-init-roles,iam\adminstrator.tf,"data ""aws_iam_policy_document"" ""administrator"" {
  statement {
    sid = ""AllowFullAccessForIAMAccountsAndOrgs""
    actions = [
      ""iam:*"",
      ""organizations:*"",
      ""account:*"",
    ]
    resources = [""*""]
  }
}

resource ""aws_iam_policy"" ""administrator"" {
  name   = var.administrator-role-name
  path   = ""/${var.org}/""
  policy = data.aws_iam_policy_document.administrator.json
}

resource ""aws_iam_role_policy_attachment"" ""administrator"" {
  policy_arn = aws_iam_policy.administrator.arn
  role = aws_iam_role.administrator.id
}
resource ""aws_iam_role"" ""administrator"" {
  name = var.administrator-role-name
  path                  = ""/${var.org}/""
  max_session_duration  = local.max_session_duration
  description           = ""Administrator Role""
  assume_role_policy = data.aws_iam_policy_document.administrator-assume-role-policy.json
  force_detach_policies = true
}

data ""aws_iam_policy_document"" ""administrator-assume-role-policy"" {
  statement {
    actions = [
      ""sts:AssumeRole"",
    ]

    principals {
      type        = ""AWS""
      identifiers = var.administrator-trusted-entities
    }

    condition {
      variable = ""aws:MultiFactorAuthPresent""
      test     = ""Bool""
      values   = [""true""]
    }

    condition {
      variable = ""aws:MultiFactorAuthAge""
      test     = ""NumericLessThanEquals""
      values   = [local.max_session_duration]
    }
  }
}",1395,True,Medium,Wildcard action (*) with wildcard resource (*); partially mitigated by MFA condition,Checkov not installed,2026-06-14 20:03:15
developer.tf,kelseymok/aws-init-roles,iam\developer.tf,"resource ""aws_iam_role"" ""developer"" {
  name                  = var.developer-role-name
  path                  = ""/${var.org}/""
  max_session_duration  = local.max_session_duration
  description           = ""Developer Role""
  assume_role_policy    = data.aws_iam_policy_document.developer-assume-role-policy.json
  force_detach_policies = true
}

data ""aws_iam_policy_document"" ""developer-assume-role-policy"" {
  statement {
    actions = [
      ""sts:AssumeRole"",
    ]

    principals {
      type        = ""AWS""
      identifiers = var.developer-trusted-entities
    }

    condition {
      variable = ""aws:MultiFactorAuthPresent""
      test     = ""Bool""
      values   = [""true""]
    }

    condition {
      variable = ""aws:MultiFactorAuthAge""
      test     = ""NumericLessThanEquals""
      values   = [local.max_session_duration]
    }
  }
}

resource ""aws_iam_role_policy_attachment"" ""power-user"" {
  policy_arn = ""arn:aws:iam::aws:policy/PowerUserAccess""
  role       = aws_iam_role.developer.name
}

resource ""aws_iam_role_policy_attachment"" ""eks-cluster-policy"" {
  policy_arn = ""arn:aws:iam::aws:policy/AmazonEKSClusterPolicy""
  role       = aws_iam_role.developer.name
}

resource ""aws_iam_role_policy_attachment"" ""eks-service-policy"" {
  policy_arn = ""arn:aws:iam::aws:policy/AmazonEKSServicePolicy""
  role       = aws_iam_role.developer.name
}

resource ""aws_iam_role_policy_attachment"" ""systems-manager"" {
  policy_arn = ""arn:aws:iam::aws:policy/AmazonSSMFullAccess""
  role       = aws_iam_role.developer.name
}

resource ""aws_iam_role_policy_attachment"" ""iam"" {
  policy_arn = aws_iam_policy.iam.arn
  role       = aws_iam_role.developer.name
}

resource ""aws_iam_policy"" ""iam"" {
  name   = var.developer-role-name
  path   = ""/${var.org}/""
  policy = data.aws_iam_policy_document.developer-iam.json
}

data ""aws_iam_policy_document"" ""developer-iam"" {
  statement {
    sid     = ""DenyEverythingInOrgPath""
    effect  = ""Deny""
    actions = [""*""]
    resources = [
      ""arn:aws:iam::*:group/${var.org}/*"",
      ""arn:aws:iam::*:instance-profile/${var.org}/*"",
      ""arn:aws:iam::*:policy/${var.org}/*"",
      ""arn:aws:iam::*:role/${var.org}/*"",
      ""arn:aws:iam::*:user/${var.org}/*"",
    ]
  }

  statement {
    sid = ""AllowManagingRolesWithBoundary""
    actions = [
      ""iam:AttachRolePolicy"",
      ""iam:CreateRole"",
      ""iam:DeleteRolePolicy"",
      ""iam:DetachRolePolicy"",
      ""iam:PutRolePermissionsBoundary"",
      ""iam:PutRolePolicy"",
    ]
    resources = [
      ""*""
    ]
    condition {
      variable = ""iam:PermissionsBoundary""
      test     = ""ForAnyValue:StringEquals""
      values = [
        aws_iam_policy.boundary.arn
      ]
    }
  }

  statement {
    sid = ""AllowManagingRoles""
    actions = [
      ""iam:DeleteRole"",
      ""iam:GetRole"",
      ""iam:GetRolePolicy"",
      ""iam:ListAttachedRolePolicies"",
      ""iam:ListInstanceProfilesForRole"",
      ""iam:ListRolePolicies"",
      ""iam:ListRoleTags"",
      ""iam:ListRoles"",
      ""iam:PassRole"",
      ""iam:TagRole"",
      ""iam:UntagRole"",
      ""iam:UpdateAssumeRolePolicy"",
      ""iam:UpdateRole"",
      ""iam:UpdateRoleDescription"",
    ]
    resources = [
      ""*""
    ]
  }

  statement {
    sid = ""AllowManagingGroups""
    actions = [
      ""iam:GetGroup"",
      ""iam:GetGroupPolicy"",
      ""iam:DeleteGroup"",
      ""iam:DetachGroupPolicy"",
      ""iam:ListAttachedGroupPolicies"",
      ""iam:ListGroups"",
      ""iam:ListGroupPolicies"",
      ""iam:RemoveUserFromGroup""
    ]
    resources = [
      ""*""
    ]
  }

  statement {
    sid = ""AllowManagingUsersWithBoundary""
    actions = [
      ""iam:AttachUserPolicy"",
      ""iam:CreateUser"",
      ""iam:DetachUserPolicy"",
      ""iam:PutUserPermissionsBoundary"",
      ""iam:PutUserPolicy""
    ]
    resources = [
      ""*""
    ]
    condition {
      variable = ""iam:PermissionsBoundary""
      test     = ""ForAnyValue:StringEquals""
      values = [
        aws_iam_policy.boundary.arn
      ]
    }
  }

  statement {
    sid = ""AllowManagingUsers""
    actions = [
      ""iam:AddUserToGroup"",
      ""iam:CreateAccessKey"",
      ""iam:DeleteAccessKey"",
      ""iam:DeleteUser"",
      ""iam:GetUser"",
      ""iam:GetUserPolicy"",
      ""iam:ListAccessKeys"",
      ""iam:ListAttachedUserPolicies"",
      ""iam:ListGroupsForUser"",
      ""iam:ListUsers"",
      ""iam:ListUserPolicies"",
      ""iam:TagUser"",
      ""iam:UntagUser"",
    ]
    resources = [
      ""*""
    ]
  }

  statement {
    sid = ""AllowManagingPolicies""
    actions = [
      ""iam:CreatePolicy"",
      ""iam:CreatePolicyVersion"",
      ""iam:DeletePolicy"",
      ""iam:DeletePolicyVersion"",
      ""iam:GetPolicy"",
      ""iam:GetPolicyVersion"",
      ""iam:ListEntitiesForPolicy"",
      ""iam:ListPolicies"",
      ""iam:ListPolicyVersions"",
      ""iam:SetDefaultPolicyVersion"",
    ]
    resources = [
      ""*""
    ]
  }

  statement {
    sid = ""AllowManagingInstanceProfiles""
    actions = [
      ""iam:AddRoleToInstanceProfile"",
      ""iam:CreateInstanceProfile"",
      ""iam:DeleteInstanceProfile"",
      ""iam:GetInstanceProfile"",
      ""iam:ListInstanceProfiles"",
      ""iam:RemoveRoleFromInstanceProfile"",
    ]
    resources = [
      ""*""
    ]
  }

  statement {
    sid = ""FederatedAccessThroughSAML""
    actions = [
      ""iam:UpdateSAMLProvider"",
      ""iam:ListSAMLProviders"",
      ""iam:GetSAMLProvider"",
      ""iam:DeleteSAMLProvider"",
      ""iam:CreateSAMLProvider""
    ]
    resources = [
      ""*""
    ]
  }
}

resource ""aws_iam_policy"" ""boundary"" {
  name   = ""developer-boundary""
  path   = ""/${var.org}/""
  policy = data.aws_iam_policy_document.boundary.json
}

data ""aws_iam_policy_document"" ""boundary"" {
  statement {
    sid = ""AllowFullAccessExceptForAdministratorPermissions""
    not_actions = [
      ""iam:*"",
      ""organizations:*"",
      ""account:*"",
    ]
    resources = [""*""]
  }

  statement {
    sid = ""AllowMinimalIamAccess""
    actions = [
      ""iam:CreateServiceLinkedRole"",
      ""iam:DeleteServiceLinkedRole"",
      ""iam:ListAttachedRolePolicies"", // Required for EKS
      ""iam:ListRoles"",
      ""iam:PassRole"", // Required for creating service-roles that assume instance roles
      ""organizations:DescribeOrganization"",
      ""account:ListRegions"",
    ]
    resources = [""*""]
  }
}
",6234,True,Medium,Wildcard action (*) with wildcard resource (*); partially mitigated by MFA condition,Checkov not installed,2026-06-14 20:03:15
